sonde,hr,tem,u_wind,v_wind,sid,sshs,rmw,quad,dist,duct
data/sondes/qc/HURR1_/g122455085QC.nc,0.0010112236103901246,204.60999908447263,-11.969749,-2.5992858,2014212N11242,1.0,20.0,2,282.3135872438494,True
data/sondes/qc/HURR1_/g122455089QC.nc,1.551338158023789,289.72999992370603,-12.6803255,-17.860498,2012296N14283,1.0,50.0,4,128.00883791774467,False
data/sondes/qc/HURR1_/g122455090QC.nc,0.0017621108524241104,205.4699996948242,17.589071,13.465638,2012296N14283,1.0,72.0,1,533.2877414575696,True
data/sondes/qc/HURR1_/g122455091QC.nc,0.002503032246892753,212.74999847412107,-0.7227554,20.935143,2012234N16315,0.0,45.0,2,387.47834409812435,True
data/sondes/qc/HURR1_/g122455093QC.nc,1.135123844988176,294.51000061035154,-3.9508736,3.8976157,2012296N14283,1.0,30.0,4,141.28691582962827,False
data/sondes/qc/HURR1_/g122455094QC.nc,1.0509059816731638,288.99000015258787,1.2265962,12.056196,2012234N16315,-1.0,125.0,4,1008.9061336856984,False
data/sondes/qc/HURR1_/g122455094QC1.nc,1.0509059816731638,288.99000015258787,1.2265962,12.056196,2012234N16315,-1.0,125.0,4,1008.9061336856984,False
data/sondes/qc/HURR1_/g122455095QC.nc,1.1530503917958461,291.3400005340576,0.17482118,3.1212413,2012234N16315,0.0,30.0,4,171.18234494783897,False
data/sondes/qc/HURR1_/g122455096QC.nc,0.0019697567994392327,204.76000061035154,11.654141,-7.444792,2012234N16315,0.0,40.0,1,825.8594132542161,False
data/sondes/qc/HURR1_/g122455097QC.nc,1.0121615165779454,285.6299995422363,-32.855743,7.4355865,2012234N16315,1.0,40.0,1,149.53028476679063,False
data/sondes/qc/HURR1_/g122455098QC.nc,0.0027153616001243195,209.51999893188474,19.420614,0.25387976,2012234N16315,0.0,50.0,1,1155.0542108878417,True
data/sondes/qc/HURR1_/g122455099QC.nc,0.003488904206686537,216.01000061035154,8.448313,10.722432,2012296N14283,1.0,110.0,3,133.99155318178967,False
data/sondes/qc/HURR1_/g122455100QC.nc,0.0025819982082983593,209.7199996948242,13.901939,33.875423,2012296N14283,1.0,72.0,2,410.2552702929681,False
data/sondes/qc/HURR1_/g122455102QC.nc,0.002243090641514911,212.99999847412107,-1.9562601,2.97246,2012234N16315,0.0,55.0,4,386.12586307927126,False
data/sondes/qc/HURR1_/g122455103QC.nc,0.0023256675179505995,213.74000015258787,1.844072,12.368763,2012234N16315,0.0,55.0,3,336.804751479971,False
data/sondes/qc/HURR1_/g122455104QC.nc,0.0031954835276763456,211.76999893188474,12.083528,11.346098,2012296N14283,1.0,100.0,4,256.22542833729193,False
data/sondes/qc/HURR1_/g122455108QC.nc,1.1606995678211112,290.2799991607666,16.717928,-13.758689,2012242N13333,0.0,70.0,3,188.06293866902286,False
data/sondes/qc/HURR1_/g122455110QC.nc,0.0017767158116525586,206.7399963378906,24.28629,-2.1621723,2012234N16315,0.0,40.0,1,1030.8216200128425,False
data/sondes/qc/HURR1_/g122455112QC.nc,1.3245828827978563,287.22999992370603,-11.604835,30.29237,2012242N13333,0.0,70.0,4,135.42026537802445,False
data/sondes/qc/HURR1_/g122455113QC.nc,0.002660170534548547,215.74999847412107,-4.6074758,23.93224,2012234N16315,0.0,55.0,3,411.61288894462916,True
data/sondes/qc/HURR1_/g122455114QC.nc,0.0013911977074469,205.34000244140623,15.349468,14.984756,2012234N16315,0.0,60.0,2,285.58449545127166,False
data/sondes/qc/HURR1_/g122455115QC.nc,1.148640951120866,289.1299995422363,2.42005,11.295095,2012234N16315,-1.0,125.0,4,1033.2739050291516,False
data/sondes/qc/HURR1_/g122455115QC1.nc,1.148640951120866,289.1299995422363,2.42005,11.295095,2012234N16315,-1.0,125.0,4,1033.2739050291516,False
